email,commission,points,registerpoints,signinpoints,twitter_x_id_points,discordid_points,telegramid_points,bonus_points,epoch01,totalPoints
bull40@nodeverse.ai,0,7344.5,6,13,5000,5000,5000,0,0,22363.5
bull41@nodeverse.ai,0,4748.5,6,11,5000,5000,5000,0,0,19765.5
bull42@nodeverse.ai,0,22830.5,6,12,5000,5000,5000,0,0,37848.5
bull43@nodeverse.ai,0,6874.5,6,12,5000,5000,5000,0,0,21892.5
bull44@nodeverse.ai,0,26118,6,11,5000,5000,5000,0,0,41135
bull45@nodeverse.ai,0,28831,6,14,5000,5000,5000,0,0,43851
bull46@nodeverse.ai,0,3109,6,9,5000,5000,5000,0,0,18124
bull47@nodeverse.ai,0,20600,6,12,5000,5000,5000,0,0,35618
bull48@nodeverse.ai,0,21394,6,12,5000,5000,5000,0,0,36412
bull49@nodeverse.ai,0,10218,6,11,5000,5000,5000,0,0,25235
bull50@nodeverse.ai,0,0,0,0,0,0,0,0,0,0
bull51@nodeverse.ai,0,18708.5,6,14,5000,5000,5000,0,0,33728.5
bull52@nodeverse.ai,0,5468.5,6,11,5000,5000,5000,0,0,20485.5
bull53@nodeverse.ai,0,12817.5,6,12,5000,5000,5000,0,0,27835.5
bull51@tourzy.us,0,1778,6,9,5000,5000,5000,0,0,16793
bull54@nodeverse.ai,0,0,0,0,0,0,0,0,0,0
bull55@nodeverse.ai,0,0,0,0,0,0,0,0,0,0
bull62@nodeverse.ai,0,16259.5,6,11,5000,5000,5000,0,0,31276.5
bull58@nodeverse.ai,0,22701,6,12,5000,5000,5000,0,0,37719
bull59@nodeverse.ai,0,24823,6,13,5000,5000,5000,0,0,39842
bull63@nodeverse.ai,0,3621.5,6,11,5000,5000,5000,0,0,18638.5
bullz63@nodeverse.ai,0,5520,6,10,5000,5000,5000,0,0,20536
bull64@nodeverse.ai,0,0,0,0,0,0,0,0,0,0
bull65@nodeverse.ai,0,12441,6,12,5000,5000,5000,0,0,27459
bull66@nodeverse.ai,0,1840.5,6,10,5000,5000,5000,0,0,16856.5
bull67@nodeverse.ai,0,7717.5,6,10,5000,5000,5000,0,0,22733.5
bull68@nodeverse.ai,0,1835,6,9,5000,5000,5000,0,0,16850
bull69@tourzy.us,0,10744,6,9,5000,5000,5000,0,0,25759
bull70@nodeverse.ai,0,10006,6,10,5000,5000,5000,0,0,25022
bull71@nodeverse.ai,0,1766,6,9,5000,5000,5000,0,0,16781
bull72@tourzy.us,0,16123,6,10,5000,5000,5000,0,0,31139
bullx72@tourzy.us,0,12582.5,6,10,5000,5000,5000,0,0,27598.5
bull73@tourzy.us,0,16984.5,6,10,5000,5000,5000,0,0,32000.5
bullz73@tourzy.us,0,16982,6,10,5000,5000,5000,0,0,31998
bull74@tourzy.us,0,5243,6,8,5000,5000,5000,0,0,20257
bull75@tourzy.us,0,19233,6,9,5000,5000,5000,0,0,34248
bull76@tourzy.us,0,18619.5,6,10,5000,5000,5000,0,0,33635.5
bull77@tourzy.us,0,20994.5,6,9,5000,5000,5000,0,0,36009.5
bull78@tourzy.us,0,20134,6,9,5000,5000,5000,0,0,35149
bullz78@tourzy.us,0,19891.5,6,9,5000,5000,5000,0,0,34906.5
bull80@tourzy.us,0,20269,6,10,5000,5000,5000,0,0,35285
bullz80@tourzy.us,0,0,0,0,0,0,0,0,0,0
bully80@tourzy.us,0,20368.5,6,8,5000,5000,5000,0,0,35382.5
bull81@tourzy.us,0,19593,6,9,5000,5000,5000,0,0,34608
bullz81@tourzy.us,0,19152,6,10,5000,5000,5000,0,0,34168
bull84@tourzy.us,0,20530.5,6,9,5000,5000,5000,0,0,35545.5
bullz84@tourzy.us,0,20530.5,6,9,5000,5000,5000,0,0,35545.5
bull87@tourzy.us,0,17242,6,9,5000,5000,5000,0,0,32257
bullz87@tourzy.us,0,17055,6,9,5000,5000,5000,0,0,32070
bull88@tourzy.us,0,16516.5,6,11,5000,5000,5000,0,0,31533.5
bullz88@tourzy.us,0,16077,6,12,5000,5000,5000,0,0,31095
bull27@tourzy.us,0,5194,6,8,5000,5000,5000,0,0,20208
bull79@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull80@tourzy.us,0,20269,6,10,5000,5000,5000,0,0,35285
bull98@tourzy.us,0,16874.5,6,12,5000,5000,5000,0,0,31892.5
bull82@tourzy.us,0,8132,6,9,5000,5000,5000,0,0,23147
bull86@tourzy.us,0,12282,6,10,5000,5000,5000,0,0,27298
bull85@tourzy.us,0,10234,6,10,5000,5000,5000,0,0,25250
bull88@tourzy.us,0,16517.5,6,11,5000,5000,5000,0,0,31534.5
bullz88@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull89@tourzy.us,0,7727.5,6,10,5000,5000,5000,0,0,22743.5
bullz89@tourzy.us,0,7534,6,10,5000,5000,5000,0,0,22550
bull91@tourzy.us,0,13766.5,6,9,5000,5000,5000,0,0,28781.5
bullz91@tourzy.us,0,12721.5,6,9,5000,5000,5000,0,0,27736.5
bull92@tourzy.us,0,9016,6,9,5000,5000,5000,0,0,24031
bull95@tourzy.us,0,4454,6,9,5000,5000,5000,0,0,19469
bull97@tourzy.us,0,12218,6,9,5000,5000,5000,0,0,27233
bull98@tourzy.us,0,16878.5,6,12,5000,5000,5000,0,0,31896.5
bull114@tourzy.us,0,8136,6,9,5000,5000,5000,0,0,23151
bull128@tourzy.us,0,5490.5,6,10,5000,5000,5000,0,0,20506.5
bull143@tourzy.us,0,4506,6,11,5000,5000,5000,0,0,19523
bullz143@tourzy.us,0,4626,6,9,5000,5000,5000,0,0,19641
bull144@tourzy.us,0,13365,6,11,5000,5000,5000,0,0,28382
bullz144@tourzy.us,0,13819,6,8,5000,5000,5000,0,0,28833
bull145@tourzy.us,0,4362,6,10,5000,5000,5000,0,0,19378
bull146@tourzy.us,0,4264,6,10,5000,5000,5000,0,0,19280
bull171@tourzy.us,0,11523.5,6,9,5000,5000,5000,0,0,26538.5
bullz171@tourzy.us,0,11592,6,9,5000,5000,5000,0,0,26607
bull166@tourzy.us,0,0,0,0,0,0,0,0,0,0
bullz166@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull167@tourzy.us,0,10160.5,6,10,5000,5000,5000,0,0,25176.5
bullz167@tourzy.us,0,10141.5,6,9,5000,5000,5000,0,0,25156.5
bull170@tourzy.us,0,4060,6,9,5000,5000,5000,0,0,19075
bullz170@tourzy.us,0,4043,6,10,5000,5000,5000,0,0,19059
bull173@tourzy.us,0,7960.5,6,10,5000,5000,5000,0,0,22976.5
bullz173@tourzy.us,0,7030.5,6,9,5000,5000,5000,0,0,22045.5
bull174@tourzy.us,0,6531.5,6,9,5000,5000,5000,0,0,21546.5
bullz174@tourzy.us,0,5509.5,6,8,5000,5000,5000,0,0,20523.5
bull175@tourzy.us,0,6639.5,6,9,5000,5000,5000,0,0,21654.5
bullz175@tourzy.us,0,5549.5,6,9,5000,5000,5000,0,0,20564.5
bull176@tourzy.us,0,11489.5,6,9,5000,5000,5000,0,0,26504.5
bullz176@tourzy.us,0,9828.5,6,9,5000,5000,5000,0,0,24843.5
bull177@tourzy.us,0,0,0,0,0,0,0,0,0,0
bullz177@tourzy.us,0,7611,6,9,5000,5000,5000,0,0,22626
bull201@tourzy.us,0,12344,6,9,5000,5000,5000,0,0,27359
bull204@tourzy.us,0,5359,6,9,5000,5000,5000,0,0,20374
bull205@tourzy.us,0,5205,6,10,5000,5000,5000,0,0,20221
bull297@tourzy.us,0,8113,6,12,5000,5000,5000,0,0,23131
bull301@tourzy.us,0,7113,6,9,5000,5000,5000,0,0,22128
bull308@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull309@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull313@tourzy.us,0,4591,6,10,5000,5000,5000,0,0,19607
bull314@tourzy.us,0,4579,6,10,5000,5000,5000,0,0,19595
bullz314@tourzy.us,0,4596,6,9,5000,5000,5000,0,0,19611
bully314@tourzy.us,0,4523,6,11,5000,5000,5000,0,0,19540
bull315@tourzy.us,0,4731,6,9,5000,5000,5000,0,0,19746
bullz315@tourzy.us,0,4648,6,9,5000,5000,5000,0,0,19663
bully315@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull318@tourzy.us,0,4250,6,9,5000,5000,5000,0,0,19265
bull319@tourzy.us,0,4892,6,8,5000,5000,5000,0,0,19906
bull320@tourzy.us,0,4225,6,9,5000,5000,5000,0,0,19240
bull322@tourzy.us,0,4739,6,9,5000,5000,5000,0,0,19754
bull323@tourzy.us,0,4698,6,9,5000,5000,5000,0,0,19713
bull324@tourzy.us,0,5046,6,9,5000,5000,5000,0,0,20061
bull332@tourzy.us,0,7187,6,8,5000,5000,5000,0,0,22201
bull333@tourzy.us,0,7513,6,8,5000,5000,5000,0,0,22527
bull93@tourzy.us,0,4275,6,8,5000,5000,5000,0,0,19289
bull94@tourzy.us,0,4229,6,8,0,0,0,0,0,4243
bull96@tourzy.us,0,4344,6,7,5000,5000,5000,0,0,19357
bull99@tourzy.us,0,4343,6,7,5000,5000,5000,0,0,19356
bull100@tourzy.us,0,4341,6,7,5000,5000,5000,0,0,19354
bull101@tourzy.us,0,4285,6,7,5000,5000,5000,0,0,19298
bull102@tourzy.us,0,4286,6,7,5000,5000,5000,0,0,19299
bull103@tourzy.us,0,4245,6,6,5000,5000,5000,0,0,19257
bull104@tourzy.us,0,4228,6,6,5000,5000,5000,0,0,19240
bull105@tourzy.us,0,4268,6,6,5000,5000,5000,0,0,19280
bull106@tourzy.us,0,4337,6,6,5000,5000,5000,0,0,19349
bull107@tourzy.us,0,4369,6,6,5000,5000,5000,0,0,19381
bull108@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull109@tourzy.us,0,4256,6,6,5000,5000,5000,0,0,19268
bull110@tourzy.us,0,4336,6,7,5000,5000,5000,0,0,19349
bull111@tourzy.us,0,4321,6,7,5000,5000,5000,0,0,19334
bull112@tourzy.us,0,4411,6,6,5000,5000,5000,0,0,19423
bull113@tourzy.us,0,4408,6,6,5000,5000,5000,0,0,19420
bull115@tourzy.us,0,4321,6,6,5000,5000,5000,0,0,19333
bull116@tourzy.us,0,4346,6,6,5000,5000,5000,0,0,19358
bull117@tourzy.us,0,4339,6,6,5000,5000,5000,0,0,19351
bull118@tourzy.us,0,4135,6,6,5000,5000,5000,0,0,19147
bull119@tourzy.us,0,4316,6,6,5000,5000,5000,0,0,19328
bull120@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull121@tourzy.us,0,4292,6,6,5000,5000,5000,0,0,19304
bull122@tourzy.us,0,4343,6,6,5000,5000,5000,0,0,19355
bull123@tourzy.us,0,4173,6,6,5000,5000,5000,0,0,19185
bull124@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull125@tourzy.us,0,4048,6,6,5000,5000,5000,0,0,19060
bull126@tourzy.us,0,4131,6,6,5000,5000,5000,0,0,19143
bull127@tourzy.us,0,3976,6,6,5000,5000,5000,0,0,18988
bull128@tourzy.us,0,5498.5,6,10,5000,5000,5000,0,0,20514.5
bull129@tourzy.us,0,4131,6,6,5000,5000,5000,0,0,19143
bull130@tourzy.us,0,3971,6,6,5000,5000,5000,0,0,18983
bull131@tourzy.us,0,4006,6,6,5000,5000,5000,0,0,19018
bull132@tourzy.us,0,3992,6,6,5000,5000,5000,0,0,19004
bull133@tourzy.us,0,4059,6,6,5000,5000,5000,0,0,19071
bull134@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull135@tourzy.us,0,4061,6,8,5000,5000,5000,0,0,19075
bull136@tourzy.us,0,4121,6,6,5000,5000,5000,0,0,19133
bull137@tourzy.us,0,4030,6,6,5000,5000,5000,0,0,19042
bull138@tourzy.us,0,3954,6,6,5000,5000,5000,0,0,18966
bull139@tourzy.us,0,4033,6,6,5000,5000,5000,0,0,19045
bull140@tourzy.us,0,4019,6,6,5000,5000,5000,0,0,19031
bull141@tourzy.us,0,4041,6,6,5000,5000,5000,0,0,19053
bull142@tourzy.us,0,4157,6,6,5000,5000,5000,0,0,19169
bull143@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull144@tourzy.us,0,13374,6,11,5000,5000,5000,0,0,28391
bull415@tourzy.us,0,7147,6,7,5000,5000,5000,0,0,22160
bull416@tourzy.us,0,0,6,1,0,0,0,0,0,7
bull417@tourzy.us,0,0,6,1,0,0,0,0,0,7
bull418@tourzy.us,0,6916,6,7,5000,5000,5000,0,0,21929
bull419@tourzy.us,0,7136,6,6,5000,5000,5000,0,0,22148
bull420@tourzy.us,0,7108,6,6,5000,5000,5000,0,0,22120
bull421@tourzy.us,0,7129,6,7,5000,5000,5000,0,0,22142
bull422@tourzy.us,0,7106,6,6,5000,5000,5000,0,0,22118
bull423@tourzy.us,0,7021,6,6,5000,5000,5000,0,0,22033
bull424@tourzy.us,0,7113,6,6,5000,5000,5000,0,0,22125
bull425@tourzy.us,0,7096,6,6,5000,5000,5000,0,0,22108
bull426@tourzy.us,0,7037,6,6,5000,5000,5000,0,0,22049
bull427@tourzy.us,0,7131,6,6,5000,5000,5000,0,0,22143
bull428@tourzy.us,0,7077,6,7,5000,5000,5000,0,0,22090
bull429@tourzy.us,0,7107,6,6,5000,5000,5000,0,0,22119
bull430@tourzy.us,0,7178,6,6,0,0,0,0,0,7190
bull431@tourzy.us,0,7132,6,6,5000,5000,5000,0,0,22144
bull432@tourzy.us,0,7073,6,6,5000,5000,5000,0,0,22085
bull433@tourzy.us,0,7204,6,6,5000,5000,5000,0,0,22216
bull434@tourzy.us,0,7038,6,7,5000,5000,5000,0,0,22051
bull435@tourzy.us,0,7128,6,6,5000,5000,5000,0,0,22140
bull436@tourzy.us,0,7204,6,7,5000,5000,5000,0,0,22217
bull437@tourzy.us,0,7227,6,6,5000,5000,5000,0,0,22239
bull438@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull439@tourzy.us,0,7176,6,6,5000,5000,5000,0,0,22188
bull440@tourzy.us,0,7003,6,6,5000,5000,5000,0,0,22015
bull441@tourzy.us,0,7193,6,6,5000,5000,5000,0,0,22205
bull442@tourzy.us,0,7093,6,6,5000,5000,5000,0,0,22105
bull443@tourzy.us,0,7097,6,6,5000,5000,5000,0,0,22109
bull444@tourzy.us,0,6998,6,6,0,0,0,0,0,7010
bull445@tourzy.us,0,6913,6,6,5000,5000,5000,0,0,21925
bull446@tourzy.us,0,7159,6,5,5000,5000,5000,0,0,22170
bull447@tourzy.us,0,6964,6,7,5000,5000,5000,0,0,21977
bull448@tourzy.us,0,7091,6,6,5000,5000,5000,0,0,22103
bull449@tourzy.us,0,7215,6,6,5000,5000,5000,0,0,22227
bull450@tourzy.us,0,7104,6,7,5000,5000,5000,0,0,22117
bull451@tourzy.us,0,7098,6,6,5000,5000,5000,0,0,22110
bull452@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull453@tourzy.us,0,7006,6,6,5000,5000,5000,0,0,22018
bull454@tourzy.us,0,7046,6,6,5000,5000,5000,0,0,22058
bull455@tourzy.us,0,7144,6,7,5000,5000,5000,0,0,22157
bull456@tourzy.us,0,7097,6,7,5000,5000,5000,0,0,22110
bull457@tourzy.us,0,7240,6,6,5000,5000,5000,0,0,22252
bull458@tourzy.us,0,7029,6,6,0,0,0,0,0,7041
bull459@tourzy.us,0,0,0,0,0,0,0,0,0,0
bull460@tourzy.us,0,7062,6,6,5000,5000,5000,0,0,22074
bull461@tourzy.us,0,7101,6,6,5000,5000,5000,0,0,22113
bull462@tourzy.us,0,7135,6,6,5000,5000,5000,0,0,22147
bull463@tourzy.us,0,7147,6,6,5000,5000,5000,0,0,22159
bull469@tourzy.us,0,7158,6,6,5000,5000,5000,0,0,22170
bull473@tourzy.us,0,7104,6,6,5000,5000,5000,0,0,22116
bull465@tourzy.us,0,7095,6,6,5000,5000,5000,0,0,22107
bull472@tourzy.us,0,7078,6,6,0,0,0,0,0,7090
bull467@tourzy.us,0,7082,6,7,5000,5000,5000,0,0,22095
bull471@tourzy.us,0,7000,6,6,5000,5000,5000,0,0,22012
bull466@tourzy.us,0,7026,6,6,5000,5000,5000,0,0,22038
bull464@tourzy.us,0,7129,6,6,5000,5000,5000,0,0,22141
bull470@tourzy.us,0,7159,6,6,5000,5000,5000,0,0,22171
bull468@tourzy.us,0,7000,6,6,5000,5000,5000,0,0,22012
bull529@tourzy.us,0,5996,6,6,5000,5000,5000,0,0,21008
bull544@tourzy.us,0,5762,6,7,5000,5000,5000,0,0,20775
bull567@tourzy.us,0,5833,6,6,5000,5000,5000,0,0,20845
bull648@tourzy.us,0,6169,6,6,5000,5000,5000,0,0,21181
bull585@tourzy.us,0,5984,6,7,5000,5000,5000,0,0,20997
bull678@tourzy.us,0,6173,6,6,5000,5000,5000,0,0,21185
bull485@tourzy.us,0,7038,6,6,5000,5000,5000,0,0,22050
bull481@tourzy.us,0,7041,6,6,5000,5000,5000,0,0,22053
bull559@tourzy.us,0,5900,6,6,5000,5000,5000,0,0,20912
bull492@tourzy.us,0,7308,6,6,5000,5000,5000,0,0,22320
bull572@tourzy.us,0,5974,6,6,5000,5000,5000,0,0,20986
bull505@tourzy.us,0,3614,6,7,5000,5000,5000,0,0,18627
bull496@tourzy.us,0,6985,6,6,5000,5000,5000,0,0,21997
bull620@tourzy.us,0,6245,6,7,5000,5000,5000,0,0,21258
bull528@tourzy.us,0,6049,6,6,5000,5000,5000,0,0,21061
bull556@tourzy.us,0,5952,6,6,5000,5000,5000,0,0,20964
bull521@tourzy.us,0,6063,6,7,5000,5000,5000,0,0,21076
bull545@tourzy.us,0,5819,6,6,5000,5000,5000,0,0,20831
bull534@tourzy.us,0,6034,6,6,5000,5000,5000,0,0,21046
bull577@tourzy.us,0,5877,6,6,5000,5000,5000,0,0,20889
bull497@tourzy.us,0,7090,6,7,5000,5000,5000,0,0,22103
bull578@tourzy.us,0,5965,6,6,5000,5000,5000,0,0,20977
bull685@tourzy.us,0,6116,6,6,5000,5000,5000,0,0,21128
bull535@tourzy.us,0,5926,6,7,5000,5000,5000,0,0,20939
bull602@tourzy.us,0,5402,6,7,5000,5000,5000,0,0,20415
bull586@tourzy.us,0,6038,6,7,5000,5000,5000,0,0,21051
bull573@tourzy.us,0,5946,6,6,5000,5000,5000,0,0,20958
bull681@tourzy.us,0,6090,6,6,5000,5000,5000,0,0,21102
bull630@tourzy.us,0,6261,6,6,5000,5000,5000,0,0,21273
bull601@tourzy.us,0,5398,6,7,5000,5000,5000,0,0,20411
bull522@tourzy.us,0,5955,6,7,5000,5000,5000,0,0,20968
bull515@tourzy.us,0,3516,6,7,5000,5000,5000,0,0,18529
bull582@tourzy.us,0,5902,6,6,5000,5000,5000,0,0,20914
bull609@tourzy.us,0,5478,6,7,5000,5000,5000,0,0,20491
bull606@tourzy.us,0,5447,6,7,5000,5000,5000,0,0,20460
bull689@tourzy.us,0,6158,6,6,5000,5000,5000,0,0,21170
bull583@tourzy.us,0,5933,6,6,5000,5000,5000,0,0,20945
bull618@tourzy.us,0,6128,6,7,5000,5000,5000,0,0,21141
bull607@tourzy.us,0,5513,6,7,5000,5000,5000,0,0,20526
bull657@tourzy.us,0,6201,6,6,5000,5000,5000,0,0,21213
bull548@tourzy.us,0,5862,6,6,5000,5000,5000,0,0,20874
bull619@tourzy.us,0,6234,6,7,5000,5000,5000,0,0,21247
bull560@tourzy.us,0,6135,6,6,5000,5000,5000,0,0,21147
bull625@tourzy.us,0,6117,6,7,5000,5000,5000,0,0,21130
bull631@tourzy.us,0,6270,6,6,5000,5000,5000,0,0,21282
bull668@tourzy.us,0,6062,6,6,5000,5000,5000,0,0,21074
bull565@tourzy.us,0,6017,6,6,5000,5000,5000,0,0,21029
bull696@tourzy.us,0,6239,6,6,5000,5000,5000,0,0,21251
bull477@tourzy.us,0,7129,6,6,5000,5000,5000,0,0,22141
bull686@tourzy.us,0,6267,6,6,5000,5000,5000,0,0,21279
bull691@tourzy.us,0,6277,6,6,5000,5000,5000,0,0,21289
bull525@tourzy.us,0,5916,6,6,5000,5000,5000,0,0,20928
bull687@tourzy.us,0,6237,6,6,5000,5000,5000,0,0,21249
bull688@tourzy.us,0,6251,6,6,5000,5000,5000,0,0,21263
bull683@tourzy.us,0,6130,6,6,5000,5000,5000,0,0,21142
bull694@tourzy.us,0,6247,6,6,5000,5000,5000,0,0,21259
bull612@tourzy.us,0,5340,6,7,5000,5000,5000,0,0,20353
bull479@tourzy.us,0,7204,6,6,5000,5000,5000,0,0,22216
bull486@tourzy.us,0,7078,6,6,0,0,0,0,0,7090
bull699@tourzy.us,0,6234,6,6,5000,5000,5000,0,0,21246
bull653@tourzy.us,0,6109,6,6,5000,5000,5000,0,0,21121
bull564@tourzy.us,0,5888,6,6,5000,5000,5000,0,0,20900
bull636@tourzy.us,0,6207,6,7,5000,5000,5000,0,0,21220
bull513@tourzy.us,0,3531,6,6,5000,5000,5000,0,0,18543
bull600@tourzy.us,0,5694,6,7,5000,5000,5000,0,0,20707
bull610@tourzy.us,0,5495,6,7,5000,5000,5000,0,0,20508
bull642@tourzy.us,0,6139,6,6,5000,5000,5000,0,0,21151
bull507@tourzy.us,0,3425,6,7,5000,5000,5000,0,0,18438
bull651@tourzy.us,0,6073,6,6,5000,5000,5000,0,0,21085
bull561@tourzy.us,0,5948,6,6,5000,5000,5000,0,0,20960
bull510@tourzy.us,0,3466,6,6,5000,5000,5000,0,0,18478
bull511@tourzy.us,0,3509,6,6,5000,5000,5000,0,0,18521
bull652@tourzy.us,0,6126,6,6,5000,5000,5000,0,0,21138
bull509@tourzy.us,0,3459,6,6,5000,5000,5000,0,0,18471
bull589@tourzy.us,0,5746,6,7,5000,5000,5000,0,0,20759
bull650@tourzy.us,0,6375,6,6,5000,5000,5000,0,0,21387
bull676@tourzy.us,0,6131,6,6,5000,5000,5000,0,0,21143
bull491@tourzy.us,0,7117,6,6,5000,5000,5000,0,0,22129
bull666@tourzy.us,0,6064,6,6,5000,5000,5000,0,0,21076
bull603@tourzy.us,0,5478,6,7,5000,5000,5000,0,0,20491
bull551@tourzy.us,0,5802,6,6,5000,5000,5000,0,0,20814
bull532@tourzy.us,0,5932,6,6,5000,5000,5000,0,0,20944
bull531@tourzy.us,0,6056,6,6,5000,5000,5000,0,0,21068
bull673@tourzy.us,0,6112,6,6,5000,5000,5000,0,0,21124
bull476@tourzy.us,0,7099,6,6,5000,5000,5000,0,0,22111
bull693@tourzy.us,0,6139,6,6,5000,5000,5000,0,0,21151
bull587@tourzy.us,0,5711,6,7,5000,5000,5000,0,0,20724
bull537@tourzy.us,0,5970,6,6,5000,5000,5000,0,0,20982
bull593@tourzy.us,0,5723,6,7,5000,5000,5000,0,0,20736
bull511@tourzy.us,0,3509,6,6,5000,5000,5000,0,0,18521
bull543@tourzy.us,0,5673,6,7,5000,5000,5000,0,0,20686
bull514@tourzy.us,0,3488,6,7,0,0,0,0,0,3501
bull635@tourzy.us,0,6148,6,6,5000,5000,5000,0,0,21160
bull493@tourzy.us,0,7035,6,7,5000,5000,5000,0,0,22048
bull494@tourzy.us,0,7053,6,7,5000,5000,5000,0,0,22066
bull665@tourzy.us,0,6128,6,6,5000,5000,5000,0,0,21140
bull538@tourzy.us,0,6006,6,6,5000,5000,5000,0,0,21018
bull670@tourzy.us,0,6203,6,6,5000,5000,5000,0,0,21215
bull536@tourzy.us,0,5834,6,6,5000,5000,5000,0,0,20846
bull644@tourzy.us,0,6020,6,6,5000,5000,5000,0,0,21032
bull669@tourzy.us,0,6160,6,6,5000,5000,5000,0,0,21172
bull679@tourzy.us,0,6160,6,6,5000,5000,5000,0,0,21172
bull674@tourzy.us,0,6287,6,6,5000,5000,5000,0,0,21299
bull478@tourzy.us,0,7014,6,6,5000,5000,5000,0,0,22026
bull488@tourzy.us,0,7066,6,7,5000,5000,5000,0,0,22079
bull570@tourzy.us,0,5964,6,6,5000,5000,5000,0,0,20976
bull658@tourzy.us,0,6258,6,6,5000,5000,5000,0,0,21270
bull500@tourzy.us,0,7910,6,7,0,0,0,0,0,7923
bull490@tourzy.us,0,7135,6,7,5000,5000,5000,0,0,22148
bull645@tourzy.us,0,6189,6,6,5000,5000,5000,0,0,21201
bull643@tourzy.us,0,6255,6,6,5000,5000,5000,0,0,21267
bull632@tourzy.us,0,6252,6,6,5000,5000,5000,0,0,21264
bull623@tourzy.us,0,6175,6,7,5000,5000,5000,0,0,21188
bull692@tourzy.us,0,6154,6,6,5000,5000,5000,0,0,21166
bull662@tourzy.us,0,6213,6,6,5000,5000,5000,0,0,21225
bull680@tourzy.us,0,6091,6,6,5000,5000,5000,0,0,21103
bull495@tourzy.us,0,6931,6,6,5000,5000,5000,0,0,21943
bull690@tourzy.us,0,6140,6,6,5000,5000,5000,0,0,21152
bull595@tourzy.us,0,5621,6,7,5000,5000,5000,0,0,20634
bull637@tourzy.us,0,6153,6,6,5000,5000,5000,0,0,21165
